,Name,Overall rating,Date of reply,Text
17,Galenika Cosmetics,5/5 stars,"December 11, 2020","Thank you very much Mr. Sidd, amazing how you and your team work. Congrats!This app help us to reach new customers and retain them. Guillermo Rodríguez (Pharmacist, CEO & Founder of Galenika Cosmetics)"
18,Perfume Philippines,5/5 stars,"December 3, 2020",The Plobal App was easy to set up and it turned out great. It automatically syncs up with our Shopify store and now our mobile users have a much better platform for shopping on our site. The Plobal Apps customer service is excellent and the best I’ve ever experienced. They go above and beyond to make sure everything is working properly. They responded within a few hours to any concerns we had and quickly resolved any issues. I highly recommend Plobal Apps!
19,Revel Nail,5/5 stars,"December 2, 2020","When we were on BigCommerce we paid an outside company $25,000 to develop an app and paid a monthly fee based on the number of orders. When we switched to Shopify we were planning on paying for a new custom app and were only going to use Plobal as a temporary solution. One of our employees in marketing who is not a programmer set up our app in a few days and had it going with no developer assistance. The app is better looking and more functional than the one we paid thousands of dollars for and we'll be sticking with Plobal. Neil and Rohit and the team offer excellent support. We do hundreds to thousands of orders a day on sales days and the app has absolutely no problems with it. If you are looking for a scaleable, beautiful, but easy to set up app, this is the solution for you."
20,ShopSM,5/5 stars,"December 2, 2020",Plobal is the best choice to quickly launch your shopify store's mobile app. Great support from the Plobal team in helping us build the app until our launch. 
21,Art Pointe,5/5 stars,"November 27, 2020","All I have to say is wow. Between the extremely kind, outgoing, hilarious and joyful group you get to work with, they are there to help you through every step of the way, have extremely user friendly and simplified guides on all of processes from A-Z. You can be as involved or not as you’d like for your app creation, and if you chose to play a large role in designing, they will fully support you and help with suggestions to make your app reflect exactly how you want your business to be seen. There are not enough words to express how highly I recommend Plobal; they are always as invested, if not more, in your business being successful as you are. "
22,inavase Flower Concept,5/5 stars,"November 2, 2020",Great sales service from Sumant. Convinced us to sign up and go with Plobal. Looking forward to launching our apps with Plobal.
23,Andre Badi,5/5 stars,"November 2, 2020","This app works seamlessly. I have been searching for a way to convert my Shopify store into an app without duplicating information or custom developing. Finally we found it in this app. The support team is extremely nice and very knowledgeable, not only they provide excellent support, but they will also encourage and guide you to get the most out of the vast functionalities that their platform provides to truly help you improve and grow your business."
24,LACES STORE,5/5 stars,"October 23, 2020",We recently launched our store through the Plobal Apps platform and it has exceeded our expectations. thanks team for the support
25,متجر باندا,5/5 stars,"October 6, 2020","The customer service they provide from Sumant and Yuvi are awesome, they give us the full support to publish our apps as soon as we have with all features we asked them.. We're looking for go more forward with them. "
26,Father Sons,5/5 stars,"October 6, 2020",Incredible with every aspect from the customer service provided from Sumant & Garima with set up to the functionality the app provides! 
27,Saiid Kobeisy,4/5 stars,"September 30, 2020",i used this app and its flexible and easy to use regards technical terms and regards end user its reflect our store
28,FRAccessories,5/5 stars,"September 28, 2020",The Support I've got is really great especially from Mr. Sumant and I appreciate the easy experience with Plobal. Thanks.
29,Byogi,5/5 stars,"September 23, 2020",Easy and simple do it yourself dashboard. Great and proactive  customer service. Would definitely recommend it.
30,Fugazee,5/5 stars,"September 23, 2020",Easy to use DIY dashboard teamed up with proactive customer service fulfills all our requirements. Would definitely recommend it. 
31,EMIGÊ.it,5/5 stars,"September 22, 2020","Helpful and efficient team, always available to help. The application works very well and met all my expectations. I recommend."
32,Fresqa,5/5 stars,"September 22, 2020",It's a very straight-forward application and the support team is very responsive. Thanks Amit and Yuvraj! 
33,Fresh Aisle,5/5 stars,"September 20, 2020",Super easy to get started. Helpful and efficient team. They walked me through the entire process and helped my business go live on the app stores.
34,Doc_She,5/5 stars,"September 19, 2020",grande app e grazie mille a Yuvi  jts!!!!!!   app molto semplice e intuitiva.la consiglio vivamente
35,Hacked Up,5/5 stars,"September 18, 2020",Great customer support from Yuvraj! He guided me through the set up of the app and had an answer for every issue that I came across.
36,BEN RAHIM,5/5 stars,"September 18, 2020",Highly recommend. Excellent customer service. Thank you to Nikhat for helping & very fast support. exactly what i need!!!and so easy to use.
37,My Grocery Cart,5/5 stars,"September 8, 2020",I used this app to create a native mobile application. And the output of my mobile application is Awesome!The Plobal Apps team was available 24x7 and their support helped me a lot. They managed to complete the app on time and my manager Amit has helped me a lot in solving small issues and even helped me do all the customization I needed.I would recommend to use this app.  
38,Blue Spinach,5/5 stars,"September 3, 2020",Highly recommend. Excellent customer service. Thank you to Garmina and the team. We are thrilled with our App. Plobal makes it so easy.
39,Lust México,5/5 stars,"September 2, 2020",the attention is very good I recommend it 100% ... ... the application helped me reach more clients and works to perfection
40,Maverick Tattoo Mercantile,5/5 stars,"September 2, 2020",I just recently decided to use Plobal Apps for the development of our app for our online store. Since launching we have had a HUGE response with our clients downloading the app. The ease of the process was great. Vivian was communicative through the whole process and always responded quickly to our concerns. I am so happy with my decision to partner with Plobal apps. Such a great investment for a small business! Thank you Plobal!
41,i Supply Solutions Ltd - Fiji Division,5/5 stars,"August 27, 2020","Great Support, and phone discussions. App look like it will assist my business. Much appreciated in these times."
42,KidsAny,5/5 stars,"July 22, 2020",The team was really helpful and very supportive.. i liked working with them.. the application help me reach more clients 
43,3Dpn Plastic,5/5 stars,"July 20, 2020","An excellent service for people who do not know much about programming, without a doubt the best option if you want to have your first APP. Thank you Plobal."
44,casefyi,5/5 stars,"July 20, 2020","This app is great! I recommend it!This app is great! I recommend it! In addition, the service attitude of the customer service staff was very good."
45,ravescout,2/5 stars,"July 19, 2020","The app did not pick any data from my shop, and I basically would have had to upload everything manually on my own. Not worth 99 dollars, also. "
46,boAt,5/5 stars,"June 30, 2020",Awesome app! makes the work really easy - the interface is really user-friendly.  It helped in expanding the business overall.Very helpful and dedicated team - they try to resolve the issues as soon as possible. choosing them was the best decision.
47,Envy Stylz Boutique,5/5 stars,"June 29, 2020",The app performs as expected and customer service is great! I would recommend it to anyone looking for easy navigation. 
48,AMINCO Group,5/5 stars,"June 29, 2020","Excellent utility for my online store. Very good customer service, I recommend. The customer service guys always have a good response."
49,REM orthodontics,5/5 stars,"June 26, 2020","very good application, synchronizes with Shopify immediately, the attention is very good I recommend it 100% it has helped me a lot with my sales"
50,UGAKART,4/5 stars,"June 12, 2020","We have been using plobal apps platform since quite long now....The platform is good, it helped us a lot in expanding our business - ugakart.com . Technology is good and overall system is easy to manage. At the same time, their team is also efficient. However, i expect a little bit more promptness in support and thats why 4 stars....I would certainly recommend Plobal Apps to everyone who want to bring their business to a new digital height....."
51,Janelle Beauty,5/5 stars,"June 8, 2020",I really enjoyed my experience on-boarding with this app!  The team was extremely responsive and pleasant to work with! I recommend the app 1000% Great features and easy to use.
52,Le Chocola,5/5 stars,"June 8, 2020","The App is really helpful, so easy to work with, and do the needed jobs in the best way possible! Thank you Plobal Apps!"
53,ösom,5/5 stars,"June 3, 2020","The app is great, this a fast way to have a good APP connected to shopify. You can manage your customer and orders in the same dashboard (shopify) n matter that the order was created in the APP. Is really cool. About the support is very quickly, the response of the team es almost inmediatly, Iam happy with the team support, in additional the Plobal team offer the ability to make custom changes in your app with additional fee is great. I really recommend this solution"
54,Fresh Mart,5/5 stars,"May 21, 2020",Great customer service! Quick turnaround of project!  It was much better than my expectation. 
55,SuperCarniceria.com,5/5 stars,"June 1, 2020","Very easy to use and setup for your own Mobile App, completely integrated/synced to your shopify store."
56,The Nifty Decor,5/5 stars,"May 20, 2020",I loved the easy process to get my app ready without any coding knowledge. The support team is very responsive. I would recommend to anyone looking to build a solid app for their business.
57,Kixsquare,5/5 stars,"May 19, 2020",I used Plobal to help add value to my brands experience and they did just so. Now I have the opportunity to control direct push notifications to my customers and increase engagement and conversion rates. The customer support is responsive and they work hard around the clock to fulfill our needs. Thank you guys for your patience and for working with us and paying attention to our needs as a e-commerce merchants.
58,www.emarketkw.com,5/5 stars,"May 19, 2020","Great support Works as expected , always there to help Been using the app for 6 months now and it’s very easy to change and update "
59,Brikerr | Tienda en Linea,5/5 stars,"May 18, 2020",Excelent. I tried the App to my Shopify Store and I'm satisfied. The Support team is excelent and answer very fast.
60,dead horse limited,5/5 stars,"May 15, 2020","I've set up a drop shipping store and added the plobal app as I wanted an app, I tried a few different platforms and this is definitely the cleanest and easiest to use, even though you're limited to the customisation of the platform it's enough to have a simple mobile app where you can sell products."
61,Arts and Crafts Supplies Online Australia,5/5 stars,"March 23, 2020",Today was the start of what I know will be a great step forward for our company. Yuvraj was such a great help in the our initial steps...let the fun begin !
62,Joynergy,5/5 stars,"March 20, 2020","great customer service so far, let's see how it goes, I will update latter according to my experience."
63,kaif,5/5 stars,"March 13, 2020",I really  like the apps so muchThe apps are fast and reliable. Thank you Plobal team for your support.
64,Sohati Care Jordan,5/5 stars,"March 13, 2020",This is our 4th app with Plobal and we have to say that the speed of deployment and integration is exceptional! 
65,Cavallo Collection,5/5 stars,"March 12, 2020","Thank you, Plobal Team for your efforts for building our dream into reality. I appreciate your 24x7 Support."
66,STITCH,5/5 stars,"March 11, 2020",Plobal Team support is efficient and organized. We recently launched our store app on both Google and Apple and the statistics speak for itself. They helped out in every way in terms of making it possible and in terms of customizations that we required. Plobal apps offer great attention to detail and support and have been striving to make the application successful. Always a good addition to a website. I would recommend using their services as I'm sure to be using them again on any future online stores we work on. 
67,Sri Sri Tattva,5/5 stars,"March 10, 2020",The team has been very efficient in helping out on most of the possibilities and customisations that were required set up the app. The app is smooth and easy to operate. Basic layout customisations are really good to make immediate changes live. There are few more features that I required which are not part of the app but the team is willing to look into it and put efforts working it out. All in all I couldn't find any other better Shopify app that can be integrated quickly with good features as Plobal. I suppose if you're on Shopify except Plobal the next option is only to build a custom native app if you require something more than what Plobal has to offer. 
68,Atlesia,5/5 stars,"January 30, 2020","We recently launched our store thru the Plobal Apps platform and it has exceeded our expectations. The infraestructure, tools, data analysis and personal attention are amazing. "
69,Grip Clean,5/5 stars,"January 23, 2020","So far so good. We haven't finished fully installing, but the customer service has been phenomenal. Which is why I installed it in the first place. They make me feel warm and fuzzy inside, that if I had any issues I feel like it will get resolved. Thanks for the help Yuvraj!"
70,FlyHouse Store,5/5 stars,"December 29, 2019",It’s really exited that I have this app and do everything by my store to sell something else after that new releases product  
71,wolfeshopping,5/5 stars,"December 8, 2019",I love using this app helps alot.i use it for my Shopify account it helps with my online sales also.plobal app is really easy to use anyone can use it for a online store there trying to get good reviews on.
72,2071MALL,5/5 stars,"November 21, 2019","We used this app to launch our store mobile app. They were quick in explaining the process and time frame needed for it. Easy to contact the service desk and they are ready to help all the time. Proper guidance was provided in creating google and apple developer account. They have certain packs and it's a bit expensive for startups, I wish in future they work on the pricing. Apart from pricing, Plobal is one of the best to go with Shopify. "
73,Al Zain Jewellery,5/5 stars,"November 12, 2019","Aside from being Neat and Simple the App is very easy to use, lack of settings though but the team is very responsive and helping us to get what we wanted. Recommended and would use again for another website."
74,Sohati Care,5/5 stars,"November 12, 2019",Incredibly easy to use and setup to get your store up and running in seconds. Has all the integrations you might need from reviews to related products and their checkout is brilliant!
75,LRL Motors,5/5 stars,"November 11, 2019",First of all thanks to plobal APP and Garima.
76,Authenticook Delivery,5/5 stars,"November 8, 2019","Came across the app when I was searching for plugins for our Shopify store. Great team, quick response. Was able to get my store going in 3 days. Overall a great experience!"
77,FuturXwear,1/5 stars,"January 24, 2020","NEVER enter into plans with them, and NEVER INSTALL this app, because when you just subscribe to a plan, you can't just uninstall the app and future billing are cancelled, NO NO NO, you will pay every month even if you don't have this App on your apps and Sales Chanel. And the APP is awful so just don't try it. I hope everyone could see this message to just don't lose their money and time."
78,ByEgreis,5/5 stars,"November 7, 2019",They've been amazing to work with! Super fast - almost instantaneous responses to all of my questions. App works great! Thank you!
79,Loolia Closet Jordan,5/5 stars,"November 6, 2019",Impeccable service and consistent performance! The speed at which you can generate apps is impressive and allows for quick deployments as you need them. Integrations are top notch and work flawlessly. Highly Recommended! 
80,LIL POLOP,5/5 stars,"October 19, 2019",me encantara es la mejor aplicación puedes crear sin duda creo qe me volverla a comer otro bocata de chorizo.
81,"Magazin Romanesc ""Hermannstadt""",5/5 stars,"October 10, 2019","Absolutely beautiful ! Fantastic ! The team is gorgeous, Sumant one of the experts there is just perfect ! He has made a beautiful App for me and supported me all the way ! I strongly recommend it !"
82,SaidExpress,1/5 stars,"October 9, 2019","todo en ingles y no se entiende nada, la verdad es mu complicado estar traduciendo manualmente a si que les dare una estrella, "
83,Brand27,5/5 stars,"September 24, 2019",The team is excellent and their support is outstanding. They made my life easy and I trust that the business will grow with their mobile app solution. 5 Stars !
84,The Southern Charmed Boutique,5/5 stars,"September 21, 2019","Amazing and easy to use, When I needed any help the support team  was quick to reply and very helpful "
85,Loolia Closet,5/5 stars,"September 11, 2019","Amazingly quick and trouble-free way of getting the apps up and running in no time. Support is top notch, well worth the cost!"
86,Golden Gods Apparel,5/5 stars,"August 30, 2019",These guys are awesome. They went above and beyond to help me get features put into my app that I wasn't able to do myself. AAA+ customer service!!! Highly recommended!!!
87,Sri Sri Tattva Mongolia,5/5 stars,"August 26, 2019",Great help from Sumant Ashok. Prompt response and got the work done quickly as required. Will be uploading the app on playstore soon and start checking out the features. 
88,Dzirelooks,5/5 stars,"August 8, 2019",I Used  This App Its User friendly and Team is supportive and My customers are comfortable in Using this app.
89,Deddimaag,5/5 stars,"August 5, 2019","I like these guys and i just love their service. Interesting,innovative,creative & committed..i wish i had a team like that..you will enjoy taking their service  & they will boost your business 10 times...you can call them anytime,you can ask for any change..they will take the challenge and make it possible..And the the tools they provide are really interesting . it's like a joy stick..you can control the game.it will give you a high..super fast in building your app   "
90,JB Boutique,5/5 stars,"August 2, 2019","Plobal Apps has been great to work with, they've handled everything I needed, excellent customer service - Highly recommend ! Any changes, I wanted they were extremely responsive to my needs. Thank you for everything "
91,Yashry,5/5 stars,"July 27, 2019","Easily, the best support team across all Shopify apps."
92,Just Miniatures,5/5 stars,"July 26, 2019",Sumant and Garima have been amazing in getting our app live on the marketplace - thank you! App is very easy to use and anything we needed was responded to straight away. GO PLOBAL!!  We are very happy clients - and look forward to an even more profitable future ahead!
93,theorangeroom,3/5 stars,"August 1, 2019","It seems to have ok features. The preview is buggy. The pricing is exorbitant for what it offers. The minuscule space allocated for the logo is silly (mobile version of basic Shopify ""Debut"" theme does this better) Also pretty strange that push notifications are not even included in the base package when Plobal aren't even the ones providing the service (you have to connect to PushOwl, which you have to pay for anyway). "
94,Zanomy,5/5 stars,"June 27, 2019",Very helpful team. App has the best features compared to competitors. I recommend this app to everyone!
95,True Vintage,5/5 stars,"June 24, 2019","5 stars, great product and an amazing team to work with. Everyone at Plobal is really helpful, highly recommended "
96,motelrocks.com,5/5 stars,"June 24, 2019",The app was super quick and easy to set up and the update with regards to collections build is excellent. The staff have and are always super helpful and work with you to improve conversions and market the app. would recommend.  
97,Eternity Clothing Co,5/5 stars,"June 19, 2019",Really fast responses and great customer service! Easy-to-use interface and really friendly staff that is always there to help with any situation.
98,RAVE Clothing,5/5 stars,"June 18, 2019","I really love to work with the team of plobal apps. The whole team does an incredible job, and i want to thank them for that. They helped me doing a really nice mobile app for my fashion brand that fit's to my requirements. "
99,renomoda,5/5 stars,"June 15, 2019","im using the plobal and its amazing i really loved the features provided.i would like to thank the support team and specially "" Sumant"" he is very helpful he deserves 10 stars  "
100,Ryann + Rose,5/5 stars,"June 11, 2019",Love the platform and dashboard is user friendly.  Hopefully I'll be upgrading soon for all the features!
101,Fatima Balhaddad,5/5 stars,"June 10, 2019","I used this app ، It's great if you want to get more customers, who use their phones frequently, I recommend it. "
102,Asafary,4/5 stars,"June 7, 2019",i like it                                                                                                             
103,Cappelletto Shop,5/5 stars,"June 3, 2019","We have integrated Probal Apps for our store by connecting all our products in the new app for Play Store and App Store, really successfully! Customer Service is really fast and efficient, I recommend it for those who want to integrate their own app efficiently. "
104,Planet54,5/5 stars,"May 30, 2019","We were having some difficulties from our previous app partner, We met Pratik, Sumant and Rutuja from Plobal Apps and these guys have blown us away! There work ethic and customer service is close to the best guys we have dealt with. They managed our complete process of the transfer from the old app to the new app and we HIGHLY recommend them!"
105,MCLABELS,5/5 stars,"May 29, 2019","Actually we're still working closely with the PlobalApps team. Until now we can say that the Support team has been very helpful for every problem we had. They're always present to help you find a good solution for your store. Definitely one of the best services available. Lastly, there are a lot of features that will help you increase your potential. A+"
106,yabel,5/5 stars,"May 28, 2019",The customer support is great. They help me building app for my store and all the features in it. They always try to make it as close as possible to my request. Making app for your store is easier and very doable now
107,Dimlaj Online Shop,5/5 stars,"May 26, 2019","It is a very good app, they keep improve their product, just i hope it is more flexible with the design, a little bit more =) "
108,Alloons Clothe,5/5 stars,"May 25, 2019","Finally found a Great App developing platform for our store. One of the best feature of Plobal apps we can recommend without a doubt is their customer support, simply great!. We had tough times with another app provider, any questions we ask always gets towards not supported or cant be done. "
109,Spectacular Treats,5/5 stars,"May 25, 2019","I had the pleasure of working with the crew and they are quick and try to help you the best way they can.  The App is very quick and responsive.  If you have the money to spend, it's worth it."
110,Angeles Wear Limited,1/5 stars,"May 17, 2019","The team behind this app are excellent in very poor communication. I can't see a demo version of what I will be paying for yet they are interested to choose a plan first. When you give a free trial, allow customer to paly around to understand your app and feel safe and comfortable but you are not allowing that, well according to my experience with you. I need to unistall this app, not worth my time and money.  Y"
111,Loly in the Sky,5/5 stars,"May 14, 2019","We are a nation wide women shoe store operating in Mexico, this year we switched from Tapcart to Plobal and we couldn´t be happier with the result. Support and success team are the best they are always available it really is 24/7. They help on language customizations, setting up campaigns for growing and we are still working together to achieve goals. I highly recommend this app."
112,Alwan - Mobile Accessories,5/5 stars,"May 13, 2019","I Already used to install All the Available apps on App store, that provide App Store through iOS & Google Play."
113,Perfume Direct,5/5 stars,"May 10, 2019","Plobal are a brilliant App Dev company. They make the whole process of setting up an app very quick & simple. Their communication is excellent too, Garima is a very supportive account manager who responds very quickly whatever the time of day. The app we have created looks great and has some nice functionality. "
114,Military Hippie,5/5 stars,"April 29, 2019",Really fantastic team at Plobal. Very responsive and they go the extra distance for their customers. They did an excellent job of designing  the look and functionality of our app . Neil and Rutuja made the whole experience from the set up to the marketing of our app flawless.  
115,VirVia,3/5 stars,"April 25, 2019","People are nice but the free app is not easy to install .. Wastage of time and energy. I think Shopify should not recommend such channels which are not of any use, particularly when the free things are promised.. Nothing is free in this world  Lets be transparent in business  "
116,Damato Biker Shop,5/5 stars,"April 12, 2019","I was very insecure to choose which app I would pick to work with it, I tested I few of them but the Plobal app, they not only provides a great quality of app but also they have an amazing team to help you 24/7. Highly recommended, the only thing is they are a little bit expensive if you compare to other apps but it is worth it!!! Thanks for the amazing experience that I am having with you guys!!"
117,Pick a Product,5/5 stars,"April 11, 2019",I used this Sales Channel to help me set up a mobile App for my online store.  Support is great and my App looks professional and well put together.
118,Addic Shop.com,5/5 stars,"April 10, 2019","Great App, tons of enterprise level features at a fraction of the cost. Migrated after using Tap Cart for 2 months. Plobal is far better in terms of  Features and ease of use. Highly recommended!"
119,Trend The Streets,5/5 stars,"April 10, 2019",5 stars hands down! They have an awesome support team and are always there to help you. Do not get discouraged if you do not get a response right away. They will always get back to you to help you find solutions to your questions! <3
120,GETIT.QA,5/5 stars,"February 25, 2021","Plobal stands out in terms of overall professionalism and service. Our contact, Ms Garima and team, their skill and attention to detail are exceptional and second to none. Their speedy communication and ability to hold true to their promises are both rare and appreciated. We had very good success with them in terms of understanding the requirements and keeping to the timeline. Thank you all for your service and keep up the good work."
121,bronze,5/5 stars,"June 11, 2019",I try another app and was not pleased This guys seem professional and know what it the trend ans the latest apps integerations to make the app great --Will review again after publishing the app---
122,Kupa Inc,5/5 stars,"March 20, 2019","Time is precious to our customers and so we use this app as another avenue to help shop faster and easier. We've experienced wonderful growth in the year we've had our app. Excellent customer service and support, they're always willing to help. Since we're unfamiliar with apps and the whole process, the Plobal team was very patient in holding our hand with each step. If there are any issue (as with any technology), they respond right away(even with the time difference).  "
123,Sphb,5/5 stars,"March 17, 2019","I used this app,Great app and Free plan,I like only Free,I would like to give 5 stars,Thank You.http://sphb.online"
124,Maxtus Apparel,5/5 stars,"March 11, 2019",This app has great features. I'm able to make my store's app look really professional easily. Yuvraj was great at helping me and was super nice! I'd recommend this to any user of shopify.
125,Sincher,5/5 stars,"March 4, 2019","So far everything is going well! Yuvraj, being the most helpful! now all i have to is finish customization & then ill be able to launch! great app & highly recommended!"
126,Mthingz,5/5 stars,"February 22, 2019",Awesome Customers Service..Thanks to Yuvaraj  He was  helpful from the start and the rest of Plobal team to have my back and the amazing services you provide..The dashboard for customization is easy to use..finally am getting a grateful application from the plabal apps ...Thanks
127,James Ascher,5/5 stars,"February 12, 2019","This is the easiest most seamless installation of any shopify integration I have used. Not only that, yuvi & the whole team respond directly to me within a few hours at the MOST! They set up every single thing for me for FREE & I just have gone in and tweaked some things from a retail visual perspective. I can’t say enough about how seamless the install was but even better: the app design itself is SO CLEAN looking, no hassles with loading etc and my customers can save their favorites there as well as their cart. I am SO EXCITED I stumbled upon plobal apps because I was about to install tapcart and from the get to it was a nightmare so I imeediately discountinued and went with plobal. OH! And my app was up and running from start to finish in LESS THAN 1 WEEK! Highly recommend. Best integration money, along with marsello loyalty app, that I have spent thus far. "
128,Habrok,5/5 stars,"February 8, 2019","Great customer service. Features are amazing and better than the competition. They are eager to help especially a brand like ours, new and upcoming. It's important to have such support and flexibility. They helped us a lot and went the extra mile with features and support. Strongly Recommend!!"
129,Circle Nutrition Center CNC,5/5 stars,"February 7, 2019","The customer service has been amazing, and I am beyond satisfied at their attentiveness and empathy."
130,TheVeganKind Supermarket,5/5 stars,"February 1, 2019","Have gotten to know the Team well. Really friendly, constantly developing the App and it is just getting better and better. Support is excellent."
131,Ravin,5/5 stars,"February 1, 2019",We just launched our App with Plobal by the begining of January 2019 previously I had my app with tapcart which was a very nice design with minimum features 
132,Passionate Apparel,5/5 stars,"January 25, 2019",I've been speaking with Pratik and I must say I am so very excited to build an app with this company. He was welcoming and helpful from the start.
133,BestieCosme,1/5 stars,"January 27, 2020","I used to use this app but I paused my store and deleted the app long ago, yet I received email today about being charged for a recurring bill of THOUSANDS of dollars. I hope this review will be responded otherwise I will have to contact shopify."
134,BEAUTY ON WHEELS,5/5 stars,"January 23, 2019","Added the app just today, What an outstanding swift customer support i had in just couple of hours after requesting the team to reach me out !!"
135,Musho Station,5/5 stars,"January 23, 2019","Plobal Apps has all the features that you can ask for in an app, forexample:1- In-App purchase, customers don't have to go to the website to pay.2- Secure checkout3- Collections browser4- Easy to customize without any previous experience5- Add to Favorites6- Customer Registration from within the app7- Automatic updates 8- Multi-currency 9- Excellent  & fast customer support"
136,Apagon Apparel,5/5 stars,"January 14, 2019","I'm the CEO, and founder of Apagon Apparel, and because of Plobal, we're launching an Android AND IOS app for our online store. The customer service reps are the most helpful, knowledgeable, friendly people, and have helped me a TON in a domain I don't have knowledge in (app developement). I would recommend this to anybody with a business that needs mobile dev. I'd recommend this to the world. -A very happy customer and business owner."
137,S.R.Mehta & Sons,5/5 stars,"January 4, 2019","The team is crazy ! I mean it totally in a good way ! Go for Plobal apps not for the amazing product they offer but for the amazing family feel that the team has ! My app is not even ready yet, but the help provided to me by the team (Sumant) has just blown me away already .... Special mention to Sumant for his service by going out of the way ! "
138,Far Ocean Online,5/5 stars,"December 20, 2018","Simply in love with the platform. Such powerful features, they are far ahead in terms of technology. The filters on the app are so powerful. The banners and layouts are flexible and beautiful. I love the flash sale banner as well, definitely gonna use it soon. I love how powerful the analytics and notifications are. Amazing platform."
139,Beauty & Colours,5/5 stars,"December 20, 2018",great apps! done design my apps just half an hour. Support team very responsive. love this apps and very recommended!
140,Icons & Ballers,5/5 stars,"December 12, 2018",This was a very simple and easy solution to our needs for a mobile app. We are very happy with it so far. The support we received throughout the design and setup process was amazing! 
141,Buy-mate,5/5 stars,"December 8, 2018","plobal is best mobile app builder, I compare some other builder, the plobal has drag tech to design home display,and their tech is best I think.support service is also very good "
142,Adventures Await,5/5 stars,"November 27, 2018","Great customer support! A bit pricey but the support team does a great job communicating. Other than the pricing, it is worth a try"
143,Swiss Butchery,5/5 stars,"November 20, 2018","Enrolled with Plobal Apps on the 15th of November 2018 (Premium Annual), Gotten a ""live"" Android Play store on the 16th and Apple App Store on the 19th. Plobal is super efficient and understands app development. Really Professional . Enjoyed working with them the past 72 Hours. Keep up the good work guys ! Definitely recommend them to people with zero knowledge in building apps. Prices are reasonable and team respond within mins whenever you drop a simple email to their official support line. Kundos Team !"
144,Daloah.com,5/5 stars,"November 20, 2018","Perfect App,New features,Easy Integration,Amazing Support,Best Mobile App ever,PlobalApps is the Best "
